Category;currency;sellerRating;Duration;endDay;ClosePrice;OpenPrice;Competitive?
Music/Movie/Game;US;3249;5;Mon;0,01;0,01;No
Music/Movie/Game;US;3249;5;Mon;0,01;0,01;No
Music/Movie/Game;US;3249;5;Mon;0,01;0,01;No
Music/Movie/Game;US;3249;5;Mon;0,01;0,01;No
Music/Movie/Game;US;3249;5;Mon;0,01;0,01;No
Music/Movie/Game;US;3249;5;Mon;0,01;0,01;No
Music/Movie/Game;US;3249;5;Mon;0,01;0,01;No
Automotive;US;3115;7;Tue;0,01;0,01;No
Automotive;US;3115;7;Tue;0,01;0,01;No
Automotive;US;3115;7;Tue;0,01;0,01;Yes
Automotive;US;3115;7;Tue;0,01;0,01;Yes
Music/Movie/Game;US;37727;7;Mon;0,01;0,01;No
Music/Movie/Game;US;3249;5;Mon;0,06;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;0,1;0,01;Yes
SportingGoods;US;34343;1;Fri;0,11;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;0,17;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;0,17;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;0,55;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;1,05;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;1,25;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;1,25;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;1,3;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;1,32;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;1,37;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;1,75;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;2;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;2;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;2,05;0,01;Yes
Automotive;US;3115;7;Tue;2,31;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;2,8;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3,01;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3,06;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3,08;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3,25;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3,25;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3,26;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3,3;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3,5;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3,75;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3,8;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;3,84;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;4,25;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;4,25;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;4,25;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;4,25;0,01;Yes
Music/Movie/Game;US;37727;7;Mon;4,26;0,01;Yes
Music/Movie/Game;US;3249;5;Mon;4,54;0,01;Yes
